地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
110000	A070609	北京市	电力消费量	739.1465	809.9	821.7054	874.3	913.1	937.05	952.7169	1020.2706	1066.8903
110000	A070701	北京市	单位地区生产总值能耗(等价值)	0.606	0.5820000000000001	0.45899999999999996	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070702	北京市	单位地区生产总值能耗(等价值)_同比增长	-5.76	na_rep	-6.94	na_rep	na_rep	na_rep	-6.17	na_rep	na_rep
110000	A070703	北京市	单位工业增加值能耗(规模以上当量值)	0.909	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070704	北京市	单位工业增加值能耗(规模以上当量值)_同比增长	-12.3	na_rep	-18.5	na_rep	na_rep	na_rep	-8.16	na_rep	na_rep
110000	A070705	北京市	单位地区生产总值电耗(等价值)	681.85	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
110000	A070706	北京市	单位地区生产总值电耗(等价值)_同比增长	-2.74	na_rep	-6.1	na_rep	na_rep	na_rep	-4.87	na_rep	na_rep
120000	A070609	天津市	电力消费量	550.1556	645.74	695.1506	722.5	774.5	794.36	800.6009	807.9299	805.5945
120000	A070701	天津市	单位地区生产总值能耗(等价值)	0.836	0.826	0.708	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070702	天津市	单位地区生产总值能耗(等价值)_同比增长	-6.03	na_rep	-4.28	na_rep	na_rep	na_rep	-7.21	na_rep	na_rep
120000	A070703	天津市	单位工业增加值能耗(规模以上当量值)	0.9109999999999999	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070704	天津市	单位工业增加值能耗(规模以上当量值)_同比增长	-13.54	na_rep	-7.48	na_rep	na_rep	na_rep	-13.25	na_rep	na_rep
120000	A070705	天津市	单位地区生产总值电耗(等价值)	782.88	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
120000	A070706	天津市	单位地区生产总值电耗(等价值)_同比增长	-8.49	na_rep	-7.48	na_rep	na_rep	na_rep	-7.77	na_rep	na_rep
130000	A070609	河北省	电力消费量	2343.8467	2691.52	2984.9043	3077.7	3251.2	3314.11	3175.6587	3264.5185	3441.7426
130000	A070701	河北省	单位地区生产总值能耗(等价值)	1.64	1.5830000000000002	1.3	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070702	河北省	单位地区生产总值能耗(等价值)_同比增长	-5.02	na_rep	-3.69	na_rep	na_rep	na_rep	-6.14	na_rep	na_rep
130000	A070703	河北省	单位工业增加值能耗(规模以上当量值)	2.9989999999999997	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070704	河北省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.54	na_rep	-6.68	na_rep	na_rep	na_rep	-6.02	na_rep	na_rep
130000	A070705	河北省	单位地区生产总值电耗(等价值)	1449.94	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
130000	A070706	河北省	单位地区生产总值电耗(等价值)_同比增长	-2.52	na_rep	-0.36	na_rep	na_rep	na_rep	-10.28	na_rep	na_rep
140000	A070609	山西省	电力消费量	1267.5376	1460.0	1650.4099	1765.8	1832.3	1822.63	1737.2078	1797.1802	1990.6135
140000	A070701	山西省	单位地区生产总值能耗(等价值)	2.364	2.235	1.7619999999999998	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
140000	A070702	山西省	单位地区生产总值能耗(等价值)_同比增长	-5.73	na_rep	-3.55	na_rep	na_rep	na_rep	-5.31	na_rep	na_rep
140000	A070703	山西省	单位工业增加值能耗(规模以上当量值)	4.55	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
140000	A070704	山西省	单位工业增加值能耗(规模以上当量值)_同比增长	-8.81	na_rep	-5.82	na_rep	na_rep	na_rep	-7.48	na_rep	na_rep
140000	A070705	山西省	单位地区生产总值电耗(等价值)	1921.93	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
140000	A070706	山西省	单位地区生产总值电耗(等价值)_同比增长	-8.5	na_rep	0.03	na_rep	na_rep	na_rep	-7.52	na_rep	na_rep
150000	A070609	内蒙古自治区	电力消费量	1287.9256	1536.83	1864.0699	2016.8	2181.9	2416.74	2542.87242411	2605.030682	2891.8714
150000	A070701	内蒙古自治区	单位地区生产总值能耗(等价值)	2.009	1.915	1.405	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
150000	A070702	内蒙古自治区	单位地区生产总值能耗(等价值)_同比增长	-6.91	na_rep	-2.51	na_rep	na_rep	na_rep	-4.0	na_rep	na_rep
150000	A070703	内蒙古自治区	单位工业增加值能耗(规模以上当量值)	3.557	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
150000	A070704	内蒙古自治区	单位工业增加值能耗(规模以上当量值)_同比增长	-15.1	na_rep	-4.39	na_rep	na_rep	na_rep	-8.8	na_rep	na_rep
150000	A070705	内蒙古自治区	单位地区生产总值电耗(等价值)	1686.72	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
150000	A070706	内蒙古自治区	单位地区生产总值电耗(等价值)_同比增长	-9.73	na_rep	4.38	na_rep	na_rep	na_rep	-2.29	na_rep	na_rep
210000	A070609	辽宁省	电力消费量	1488.1718	1715.26	1861.5329	1899.9	2008.5	2038.73	1984.8946	2037.4042	2135.4959
210000	A070701	辽宁省	单位地区生产总值能耗(等价值)	1.439	1.38	1.0959999999999999	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
210000	A070702	辽宁省	单位地区生产总值能耗(等价值)_同比增长	-5.08	na_rep	-3.4	na_rep	na_rep	na_rep	-3.52	na_rep	na_rep
210000	A070703	辽宁省	单位工业增加值能耗(规模以上当量值)	2.2569999999999997	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
210000	A070704	辽宁省	单位工业增加值能耗(规模以上当量值)_同比增长	-6.95	na_rep	-5.02	na_rep	na_rep	na_rep	-1.97	na_rep	na_rep
210000	A070705	辽宁省	单位地区生产总值电耗(等价值)	1119.99	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
210000	A070706	辽宁省	单位地区生产总值电耗(等价值)_同比增长	-6.82	na_rep	-3.15	na_rep	na_rep	na_rep	-5.44	na_rep	na_rep
220000	A070609	吉林省	电力消费量	515.2545	576.98	630.1527	637.0	653.8	667.81	651.9580000000001	667.6273	702.9803
220000	A070701	吉林省	单位地区生产总值能耗(等价值)	1.209	1.145	0.9229999999999999	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
220000	A070702	吉林省	单位地区生产总值能耗(等价值)_同比增长	-6.19	na_rep	-3.59	na_rep	na_rep	na_rep	-10.69	na_rep	na_rep
220000	A070703	吉林省	单位工业增加值能耗(规模以上当量值)	1.621	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
220000	A070704	吉林省	单位工业增加值能耗(规模以上当量值)_同比增长	-8.19	na_rep	-4.19	na_rep	na_rep	na_rep	-14.44	na_rep	na_rep
220000	A070705	吉林省	单位地区生产总值电耗(等价值)	809.13	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
220000	A070706	吉林省	单位地区生产总值电耗(等价值)_同比增长	-8.64	na_rep	-3.9	na_rep	na_rep	na_rep	-8.33	na_rep	na_rep
230000	A070609	黑龙江省	电力消费量	688.668	747.84	801.8747	827.9	845.2	859.42	868.9722	896.6182	928.5697
230000	A070701	黑龙江省	单位地区生产总值能耗(等价值)	1.214	1.156	1.042	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
230000	A070702	黑龙江省	单位地区生产总值能耗(等价值)_同比增长	-5.85	na_rep	-3.5	na_rep	na_rep	na_rep	-4.01	na_rep	na_rep
230000	A070703	黑龙江省	单位工业增加值能耗(规模以上当量值)	1.382	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
230000	A070704	黑龙江省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.64	na_rep	-5.17	na_rep	na_rep	na_rep	-6.52	na_rep	na_rep
230000	A070705	黑龙江省	单位地区生产总值电耗(等价值)	798.67	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
230000	A070706	黑龙江省	单位地区生产总值电耗(等价值)_同比增长	-7.72	na_rep	-4.43	na_rep	na_rep	na_rep	-4.31	na_rep	na_rep
310000	A070609	上海市	电力消费量	1153.3794	1295.87	1339.6248	1353.4	1410.6	1369.03	1405.5464	1486.0196	1526.7716
310000	A070701	上海市	单位地区生产总值能耗(等价值)	0.727	0.7120000000000001	0.618	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
310000	A070702	上海市	单位地区生产总值能耗(等价值)_同比增长	-6.17	na_rep	-5.32	na_rep	na_rep	na_rep	-3.92	na_rep	na_rep
310000	A070703	上海市	单位工业增加值能耗(规模以上当量值)	0.9570000000000001	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
310000	A070704	上海市	单位工业增加值能耗(规模以上当量值)_同比增长	-5.0	na_rep	-7.33	na_rep	na_rep	na_rep	0.15	na_rep	na_rep
310000	A070705	上海市	单位地区生产总值电耗(等价值)	808.49	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
310000	A070706	上海市	单位地区生产总值电耗(等价值)_同比增长	-6.39	na_rep	-4.42	na_rep	na_rep	na_rep	-4.0	na_rep	na_rep
320000	A070609	江苏省	电力消费量	3313.9857	3864.37	4281.6205	4580.9	4956.6	5012.54	5114.7024	5458.9452	5807.8899
320000	A070701	江苏省	单位地区生产总值能耗(等价值)	0.7609999999999999	0.7340000000000001	0.6	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
320000	A070702	江苏省	单位地区生产总值能耗(等价值)_同比增长	-5.17	na_rep	-3.52	na_rep	na_rep	na_rep	-6.73	na_rep	na_rep
320000	A070703	江苏省	单位工业增加值能耗(规模以上当量值)	1.107	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
320000	A070704	江苏省	单位工业增加值能耗(规模以上当量值)_同比增长	-10.17	na_rep	-5.41	na_rep	na_rep	na_rep	-7.79	na_rep	na_rep
320000	A070705	江苏省	单位地区生产总值电耗(等价值)	1064.25	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
320000	A070706	江苏省	单位地区生产总值电耗(等价值)_同比增长	-5.5	na_rep	-0.14	na_rep	na_rep	na_rep	-5.98	na_rep	na_rep
330000	A070609	浙江省	电力消费量	2471.4378	2820.93	3116.9135	3210.6	3453.1	3506.39	3553.8966	3873.1933	4192.6282
330000	A070701	浙江省	单位地区生产总值能耗(等价值)	0.741	0.7170000000000001	0.59	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
330000	A070702	浙江省	单位地区生产总值能耗(等价值)_同比增长	-5.41	na_rep	-3.07	na_rep	na_rep	na_rep	-3.53	na_rep	na_rep
330000	A070703	浙江省	单位工业增加值能耗(规模以上当量值)	1.123	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
330000	A070704	浙江省	单位工业增加值能耗(规模以上当量值)_同比增长	-4.96	na_rep	-2.4	na_rep	na_rep	na_rep	-4.37	na_rep	na_rep
330000	A070705	浙江省	单位地区生产总值电耗(等价值)	1176.5	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
330000	A070706	浙江省	单位地区生产总值电耗(等价值)_同比增长	-2.33	na_rep	1.41	na_rep	na_rep	na_rep	-6.12	na_rep	na_rep
340000	A070609	安徽省	电力消费量	952.3056	1077.91	1221.1876	1361.1	1528.1	1585.18	1639.7885	1794.9838	1921.4817
340000	A070701	安徽省	单位地区生产总值能耗(等价值)	1.0170000000000001	0.9690000000000001	0.754	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
340000	A070702	安徽省	单位地区生产总值能耗(等价值)_同比增长	-5.39	na_rep	-4.06	na_rep	na_rep	na_rep	-5.58	na_rep	na_rep
340000	A070703	安徽省	单位工业增加值能耗(规模以上当量值)	2.1	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
340000	A070704	安徽省	单位工业增加值能耗(规模以上当量值)_同比增长	-11.13	na_rep	-9.54	na_rep	na_rep	na_rep	-9.04	na_rep	na_rep
340000	A070705	安徽省	单位地区生产总值电耗(等价值)	1088.76	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
340000	A070706	安徽省	单位地区生产总值电耗(等价值)_同比增长	-1.83	na_rep	-0.15	na_rep	na_rep	na_rep	-4.87	na_rep	na_rep
350000	A070609	福建省	电力消费量	1134.9185	1315.09	1515.8603	1579.5	1700.7	1855.79	1851.859	1968.5769	2112.7185
350000	A070701	福建省	单位地区生产总值能耗(等价值)	0.8109999999999999	0.7829999999999999	0.644	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
350000	A070702	福建省	单位地区生产总值能耗(等价值)_同比增长	-3.81	na_rep	-3.29	na_rep	na_rep	na_rep	-7.7	na_rep	na_rep
350000	A070703	福建省	单位工业增加值能耗(规模以上当量值)	1.15	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
350000	A070704	福建省	单位工业增加值能耗(规模以上当量值)_同比增长	-2.7	na_rep	-1.16	na_rep	na_rep	na_rep	-16.43	na_rep	na_rep
350000	A070705	福建省	单位地区生产总值电耗(等价值)	1032.05	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
350000	A070706	福建省	单位地区生产总值电耗(等价值)_同比增长	-5.87	na_rep	2.73	na_rep	na_rep	na_rep	-8.42	na_rep	na_rep
360000	A070609	江西省	电力消费量	609.2236	700.51	835.0953	867.7	947.1	1018.52	1087.2598	1182.5013	1293.9826
360000	A070701	江西省	单位地区生产总值能耗(等价值)	0.88	0.845	0.6509999999999999	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
360000	A070702	江西省	单位地区生产总值能耗(等价值)_同比增长	-4.54	na_rep	-3.08	na_rep	na_rep	na_rep	-3.92	na_rep	na_rep
360000	A070703	江西省	单位工业增加值能耗(规模以上当量值)	1.6740000000000002	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
360000	A070704	江西省	单位工业增加值能耗(规模以上当量值)_同比增长	-10.13	na_rep	-6.87	na_rep	na_rep	na_rep	-6.7	na_rep	na_rep
360000	A070705	江西省	单位地区生产总值电耗(等价值)	922.46	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
360000	A070706	江西省	单位地区生产总值电耗(等价值)_同比增长	-1.52	na_rep	2.3	na_rep	na_rep	na_rep	-2.12	na_rep	na_rep
370000	A070609	山东省	电力消费量	2941.0672	3298.46	3635.2555	3794.6	4083.1	4223.49	5117.04645122	5390.7472	5430.1595
370000	A070701	山东省	单位地区生产总值能耗(等价值)	1.072	1.025	0.855	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070702	山东省	单位地区生产总值能耗(等价值)_同比增长	-5.46	na_rep	-3.77	na_rep	na_rep	na_rep	-3.72	na_rep	na_rep
370000	A070703	山东省	单位工业增加值能耗(规模以上当量值)	1.5430000000000001	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070704	山东省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.2	na_rep	-7.67	na_rep	na_rep	na_rep	-7.88	na_rep	na_rep
370000	A070705	山东省	单位地区生产总值电耗(等价值)	972.49	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070706	山东省	单位地区生产总值电耗(等价值)_同比增长	-3.86	na_rep	-0.58	na_rep	na_rep	na_rep	-6.49	na_rep	na_rep
